Traces,LRU,ship,hawkeye_base,hawkeye_SHCT_SIZE_BITS_9,hawkeye_SHCT_SIZE_BITS_10,hawkeye_SHCT_SIZE_BITS_12,hawkeye_SHCT_SIZE_BITS_13,
libquantum_964B, 0.584076, 0.583197, 0.59774, 0.59774, 0.59774, 0.59774, 0.59774,
mcf_158B, 0.070319, 0.0724403, 0.0816203, 0.0816216, 0.0816207, 0.0816203, 0.0816203,
mcf_250B, 0.0633837, 0.0664612, 0.0713127, 0.0713268, 0.0713164, 0.0713127, 0.0713127,
mcf_46B, 0.0797116, 0.0818961, 0.091271, 0.0912726, 0.0912763, 0.091271, 0.091271,
milc_360B, 0.564018, 0.560838, 0.563944, 0.563086, 0.563996, 0.559011, 0.559011,
milc_409B, 0.582121, 0.578301, 0.580621, 0.581538, 0.580621, 0.580058, 0.580058,
milc_744B, 0.653594, 0.653266, 0.648207, 0.648228, 0.648216, 0.647206, 0.647206,
namd_1907B, 2.41199, 2.41199, 2.41199, 2.41199, 2.41199, 2.41199, 2.41199,
namd_400B, 2.04686, 2.04686, 2.04686, 2.04686, 2.04686, 2.04686, 2.04686,
namd_851B, 2.43338, 2.43338, 2.43338, 2.43338, 2.43338, 2.43338, 2.43338,
omnetpp_17B, 1.03519, 1.34096, 1.21887, 1.21882, 1.2188, 1.21876, 1.21857,
omnetpp_340B, 0.38103, 0.382137, 0.390037, 0.388321, 0.387734, 0.390214, 0.390887,
omnetpp_4B, 1.2033, 1.43399, 1.30893, 1.30962, 1.30881, 1.30904, 1.30834,
perlbench_105B, 1.54164, 1.54163, 1.54164, 1.54164, 1.54164, 1.54164, 1.54164,
perlbench_135B, 0.806364, 0.805381, 0.807838, 0.80787, 0.807848, 0.807838, 0.80783,
perlbench_53B, 0.799066, 0.798841, 0.800386, 0.800372, 0.800373, 0.800435, 0.800438,
povray_250B, 1.1165, 1.1165, 1.1165, 1.1165, 1.1165, 1.1165, 1.1165,
povray_437B, 1.14565, 1.14565, 1.14565, 1.14565, 1.14565, 1.14565, 1.14565,
povray_711B, 1.11752, 1.11752, 1.11752, 1.11752, 1.11752, 1.11752, 1.11752,
sjeng_1109B, 0.828722, 0.828727, 0.828766, 0.828766, 0.828766, 0.828766, 0.828766,
sjeng_1966B, 0.867982, 0.868002, 0.868041, 0.868041, 0.868041, 0.868041, 0.868041,
sjeng_358B, 0.863858, 0.86387, 0.863895, 0.863895, 0.863895, 0.863895, 0.863895,
soplex_205B, 0.263107, 0.268371, 0.296376, 0.292095, 0.295579, 0.296441, 0.296244,
soplex_217B, 0.268843, 0.276402, 0.314412, 0.311489, 0.313819, 0.314521, 0.314961,
soplex_66B, 0.3124, 0.329779, 0.362651, 0.359785, 0.361926, 0.362489, 0.363263,
sphinx3_1339B, 0.872536, 0.93919, 1.18224, 1.19345, 1.1926, 1.18312, 1.18309,
sphinx3_2520B, 1.13242, 1.17707, 1.44439, 1.4465, 1.44477, 1.45183, 1.45383,
sphinx3_883B, 0.720635, 0.752782, 0.919146, 0.915038, 0.915642, 0.922229, 0.922208,
tonto_2049B, 1.44492, 1.44492, 1.44492, 1.44492, 1.44492, 1.44492, 1.44492,
tonto_2834B, 1.47975, 1.47975, 1.4798, 1.4798, 1.4798, 1.4798, 1.4798,
tonto_422B, 1.32708, 1.42359, 1.48625, 1.46174, 1.48325, 1.48625, 1.48975,
wrf_1212B, 1.54112, 1.54135, 1.54173, 1.54169, 1.54173, 1.54168, 1.54169,
wrf_1228B, 0.879495, 0.890803, 0.969151, 0.966736, 0.970293, 0.969438, 0.96933,
wrf_1650B, 0.679856, 0.67937, 0.692418, 0.691947, 0.692088, 0.691767, 0.69165,
xalancbmk_748B, 1.16745, 1.17066, 1.20391, 1.20147, 1.20351, 1.20421, 1.20439,
xalancbmk_768B, 1.78291, 1.78299, 1.78364, 1.78353, 1.78364, 1.78364, 1.78364,
xalancbmk_99B, 0.250574, 0.253843, 0.274263, 0.27426, 0.274091, 0.274754, 0.274761,
zeusmp_100B, 1.70641, 1.7047, 1.70575, 1.70575, 1.70575, 1.70575, 1.70575,
zeusmp_300B, 1.7724, 1.76342, 1.77727, 1.7769, 1.77727, 1.77727, 1.77727,
zeusmp_600B, 1.83816, 1.83784, 1.84054, 1.84265, 1.84266, 1.84043, 1.84043,
